AGS_final,risk,lisa_I,lisa_p,lisa_class
01060068,0,0.10245161189946368,0.5217313917422486,Not significant
01060059,0,0.10245161189946368,0.5217313917422486,Not significant
01060014,0,0.10245161189946368,0.5217313917422486,Not significant
01061029,0.006609359789841188,-0.10234030388465934,0.3899551251668679,Not significant
01061046,0.013503856168870277,-0.011226989724797838,0.8830993447705666,Not significant
01061113,0.01187927558867114,-0.004043219230192676,0.9627657234660513,Not significant
01061005,0.0163154484735413,-0.021698081373502306,0.7124953505100913,Not significant
01061016,0.042369577505593226,-0.013004170629894157,0.8992657559768562,Not significant
01061017,0.005079592607952923,0.06342144230180691,0.6214688646083618,Not significant
01061053,0.07702545025551803,0.07846879068740033,0.8043136983662063,Not significant
01061058,0.008203071636775963,-0.02202579386540714,0.8401976174547772,Not significant
01061061,0,0.07081938498244077,0.6578053416223062,Not significant
01061068,8.477839999102987e-5,-0.007639179259965977,0.9619882801406523,Not significant
01061072,0.02292366431207192,0.010824033255812543,0.5456705340256367,Not significant
01061079,0.04992321717349737,0.02286314952178037,0.8781916703748118,Not significant
01061109,0.008847302184577924,-0.015929170061938183,0.8797170157628621,Not significant
01061115,0.043449301891958295,-0.00952207435692917,0.9307062333744348,Not significant
01061004,0,-0.19940918180018366,0.21266974937282312,Not significant
01061012,0.005035915520419409,-0.10862075799170803,0.39903624856419545,Not significant
01061015,0.2259536059593643,1.1294757129354003,0.36087378503594525,Not significant
01061027,0.009906146765004245,0.05539839009183445,0.5740568441727072,Not significant
01061037,0.001003471379384048,0.08711140486892413,0.5708501130064667,Not significant
01061041,0.002271462180822003,0.09343663370943919,0.5217472220098456,Not significant
01061044,0,0.0502210576464959,0.7533807094045764,Not significant
01061050,0,0.08261180331057061,0.605393636492573,Not significant
01061054,0.003398605740579729,-0.11643199559579555,0.4020614949150977,Not significant
01061074,0.28423807063054174,-0.4598981606520073,0.7754775871461131,Not significant
01061101,0.001997715034160454,0.08870035382223673,0.5477024664613164,Not significant
01061118,0,-0.19695170135679438,0.21836172879926133,Not significant
01061008,0.01698536559859252,-0.011154264088879911,0.8385283719971665,Not significant
01061010,0.033187444945926396,0.013479181654491558,0.7679448955086992,Not significant
01061024,0,0.10245161189946368,0.5217313917422486,Not significant
01061034,0.04905803136647296,0.012396915605802552,0.9312360088465108,Not significant
01061035,0,-0.04196266922371692,0.7932773596260403,Not significant
01061039,0.09141195852146279,9.385475060539608e-4,0.997646407922222,Not significant
01061040,0,0.10237714467051699,0.5220339355918681,Not significant
01061045,0,0.09582122205186216,0.549018102616202,Not significant
01061047,0,0.10245161189946368,0.5217313917422486,Not significant
01061052,0.00226033578702604,0.07633563562052094,0.600838306084297,Not significant
01061059,0.014334739666321195,0.035036982552721786,0.622286641048713,Not significant
01061065,0.030439192248430013,0.006551054105245599,0.8191729253066677,Not significant
01061067,0,0.10245161189946368,0.5217313917422486,Not significant
01061070,1.8128149051521426e-4,0.05075316036686135,0.7491557239679634,Not significant
01061082,0.004422178342447238,0.0439682643425171,0.7399878000121527,Not significant
01061083,0,0.08466540225908652,0.5964607818823136,Not significant
01061084,0,0.10245161189946368,0.5217313917422486,Not significant
01061098,7.505264713793968e-5,-0.09572322830891944,0.5485990572969754,Not significant
01061100,0,0.10245161189946368,0.5217313917422486,Not significant
01061114,0.04262622877690826,0.03014607423115847,0.772191065901108,Not significant
01061006,0.08984015122906164,0.29850517291462214,0.4514317376110906,Not significant
01061022,7.541652015084922e-4,0.07108503885018981,0.6469736693198432,Not significant
01061026,6.02571576579378e-6,0.08572424074288613,0.591792150157391,Not significant
01061030,0.00046706658096411626,0.08519785586942337,0.5873818678566056,Not significant
01061055,0.007400707138056083,0.0665521882828441,0.5596256538080591,Not significant
01061056,0,0.09522086610373916,0.5515231378541307,Not significant
01061057,0.001453831918620363,0.007100226911617377,0.9622978129495234,Not significant
01061073,0.0030491488084967606,0.0833271061744995,0.5546108140644679,Not significant
01061092,0,0.09205878049844209,0.5648091575555056,Not significant
01061104,0.005351251181544512,0.07105596621044337,0.5751231493302624,Not significant
01061001,0,0.10245161189946368,0.5217313917422486,Not significant
01061003,0,0.10245161189946368,0.5217313917422486,Not significant
01061011,0,0.10245161189946368,0.5217313917422486,Not significant
