AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
14625120,Elsterheide / Halštrowska Hola,127355364.40012899,127355354.82795513,0.999999924838864,15220386.804805422,TRUE
16068051,"Sömmerda, Stadt",87938799.36311261,87938790.74234731,0.9999999019685809,8185740.423999732,TRUE
01002000,"Kiel, Landeshauptstadt",41170207.201568946,41170204.07573697,0.9999999240753887,12603920.61691315,TRUE
16068053,Straußfurt,21965099.792413514,21965097.05175782,0.9999998752268043,1418745.1022532615,TRUE
16068057,Walschleben,16867652.67604501,16867651.78524077,0.9999999471886065,896118.3803789512,TRUE
16068058,"Weißensee, Stadt",55418400.665980585,55418396.89676163,0.9999999319861471,2143353.025438082,TRUE
12061192,Groß Köris,68969441.09721689,68969413.58450319,0.9999996010883477,2941860.9781342763,TRUE
03352004,Belum,25562975.4772714,25562973.656779908,0.9999999287840535,605586.6778211233,TRUE
03352008,Bülkau,22999154.749539085,22999153.044130415,0.9999999258490719,707668.071675323,TRUE
12051000,"Brandenburg an der Havel, Stadt",229536684.8226917,229536666.1480639,0.9999999186420775,29555045.823452294,TRUE
16068044,Riethnordhausen,12511209.372501971,12511208.898324154,0.9999999620997617,530900.7603122297,TRUE
16068045,Ringleben,6614911.140140915,6614910.370417735,0.9999998836381677,271652.5503513056,TRUE
03352011,"Cuxhaven, Stadt",139606385.24283934,139606374.55083725,0.9999999234132302,20222472.02556162,TRUE
14522330,Lichtenau,49095432.99020548,49095430.10885677,0.9999999413112679,3803611.444817427,TRUE
16075062,"Bad Lobenstein, Stadt",49168874.76354723,49168870.94761858,0.9999999223913774,2365344.639181382,TRUE
16068059,Werningshausen,12703068.068347767,12703067.08483338,0.9999999225766262,279309.40124868386,TRUE
03352002,Armstorf,39653085.4398485,39653082.65418503,0.9999999297491371,634997.373923626,TRUE
16075046,"Hirschberg, Stadt",24258859.53158037,24258857.783147566,0.9999999279260098,1268627.5839127766,TRUE
03352029,Lamstedt,52790850.12726917,52790845.92087037,0.999999920319548,2009691.3325608505,TRUE
14522360,"Mittweida, Stadt, Hochschulstadt",41082795.96297368,41082793.32075635,0.9999999356855526,4797295.812520201,TRUE
16068062,Wundersleben,6945333.317018308,6945333.744378396,1.0000000615319768,306622.10660270863,TRUE
16068064,Kindelbrück,64515744.684145674,64515743.30034942,0.9999999785510303,2050696.9035135063,TRUE
16071101,Ilmtal-Weinstraße,84678060.70379254,84678053.99398135,0.999999920760925,3289122.3479757532,TRUE
16075079,Paska,6513000.710137554,6512999.980112936,0.9999998879127071,96807.84555995312,TRUE
03352036,Mittelstenahe,33816310.50410804,33816307.99615198,0.999999925835905,627426.4333445344,TRUE
14625160,Großdubrau / Wulka Dubrawa,54231965.68582398,54231961.50232927,0.9999999228592462,2844589.971065753,TRUE
14522350,"Lunzenau, Stadt",28095716.854835518,28095714.84242555,0.9999999283730692,1616138.6294101584,TRUE
15091145,"Jessen (Elster), Stadt",353999982.8112829,353999955.5839191,0.9999999230865393,13998691.666037107,TRUE
