AGS,mun_name,municipality_area_m2,class_code,class_name,class_slug,thesis_group,total_area_m2,total_share_of_municipality
14625120,Elsterheide / Halštrowska Hola,127355364.40012899,1,Artificial Land,artificial_land,artificial,15220386.804805422,0.11951115586294067
16068051,"Sömmerda, Stadt",87938799.36311261,1,Artificial Land,artificial_land,artificial,8185740.423999732,0.09308451426769623
01002000,"Kiel, Landeshauptstadt",41170207.201568946,1,Artificial Land,artificial_land,artificial,12603920.61691315,0.30614178245944873
16068053,Straußfurt,21965099.792413514,1,Artificial Land,artificial_land,artificial,1418745.1022532615,0.06459087896988655
16068057,Walschleben,16867652.67604501,1,Artificial Land,artificial_land,artificial,896118.3803789512,0.053126442522236333
16068058,"Weißensee, Stadt",55418400.665980585,1,Artificial Land,artificial_land,artificial,2143353.025438082,0.038675836900392745
12061192,Groß Köris,68969441.09721689,1,Artificial Land,artificial_land,artificial,2941860.9781342763,0.042654557313108174
03352004,Belum,25562975.4772714,1,Artificial Land,artificial_land,artificial,605586.6778211233,0.023689991736664757
03352008,Bülkau,22999154.749539085,1,Artificial Land,artificial_land,artificial,707668.071675323,0.030769307802040204
12051000,"Brandenburg an der Havel, Stadt",229536684.8226917,1,Artificial Land,artificial_land,artificial,29555045.823452294,0.12875957429760054
16068044,Riethnordhausen,12511209.372501971,1,Artificial Land,artificial_land,artificial,530900.7603122297,0.04243400813666194
16068045,Ringleben,6614911.140140915,1,Artificial Land,artificial_land,artificial,271652.5503513056,0.0410666968302644
03352011,"Cuxhaven, Stadt",139606385.24283934,1,Artificial Land,artificial_land,artificial,20222472.02556162,0.14485348926115016
14522330,Lichtenau,49095432.99020548,1,Artificial Land,artificial_land,artificial,3803611.444817427,0.07747383439058875
16075062,"Bad Lobenstein, Stadt",49168874.76354723,1,Artificial Land,artificial_land,artificial,2365344.639181382,0.04810654403942144
16068059,Werningshausen,12703068.068347767,1,Artificial Land,artificial_land,artificial,279309.40124868386,0.02198755448257725
03352002,Armstorf,39653085.4398485,1,Artificial Land,artificial_land,artificial,634997.373923626,0.016013820031404148
16075046,"Hirschberg, Stadt",24258859.53158037,1,Artificial Land,artificial_land,artificial,1268627.5839127766,0.05229543385010608
03352029,Lamstedt,52790850.12726917,1,Artificial Land,artificial_land,artificial,2009691.3325608505,0.03806893292522945
14522360,"Mittweida, Stadt, Hochschulstadt",41082795.96297368,1,Artificial Land,artificial_land,artificial,4797295.812520201,0.11677140516054012
16068062,Wundersleben,6945333.317018308,1,Artificial Land,artificial_land,artificial,306622.10660270863,0.04414793251914714
16068064,Kindelbrück,64515744.684145674,1,Artificial Land,artificial_land,artificial,2050696.9035135063,0.03178599136618897
16071101,Ilmtal-Weinstraße,84678060.70379254,1,Artificial Land,artificial_land,artificial,3289122.3479757532,0.03884267448544013
16075079,Paska,6513000.710137554,1,Artificial Land,artificial_land,artificial,96807.84555995312,0.014863785506620732
03352036,Mittelstenahe,33816310.50410804,1,Artificial Land,artificial_land,artificial,627426.4333445344,0.01855395884386364
14625160,Großdubrau / Wulka Dubrawa,54231965.68582398,1,Artificial Land,artificial_land,artificial,2844589.971065753,0.05245227487318089
14522350,"Lunzenau, Stadt",28095716.854835518,1,Artificial Land,artificial_land,artificial,1616138.6294101584,0.05752259811559166
15091145,"Jessen (Elster), Stadt",353999982.8112829,1,Artificial Land,artificial_land,artificial,13998691.666037107,0.0395443286603203
03352020,Hechthausen,30725223.58475256,1,Artificial Land,artificial_land,artificial,1421361.0129745943,0.0462603960896788
03352022,"Hemmoor, Stadt",45172134.43141381,1,Artificial Land,artificial_land,artificial,3729307.8944910765,0.08255770822947044
03352024,Hollnseth,20917479.79926818,1,Artificial Land,artificial_land,artificial,604653.3573931681,0.028906606493499406
01051003,Averlak,9022409.02673614,1,Artificial Land,artificial_land,artificial,348045.42607470875,0.03857566477460115
03352025,Ihlienworth,40295406.99028379,1,Artificial Land,artificial_land,artificial,891255.9443228068,0.022118052921954866
15001000,"Dessau-Roßlau, Stadt",246249161.47121504,1,Artificial Land,artificial_land,artificial,29972404.81732357,0.12171576397764568
14627310,Weinböhla,19096576.775836557,1,Artificial Land,artificial_land,artificial,4821753.165878609,0.2524930631535863
14521495,"Pockau-Lengefeld, Stadt",83390314.41918805,1,Artificial Land,artificial_land,artificial,2803395.903815253,0.03361776392547326
12062410,Röderland,46812746.13874429,1,Artificial Land,artificial_land,artificial,3323570.734397103,0.07099713237387648
01051010,Brickeln,6020824.33266283,1,Artificial Land,artificial_land,artificial,141871.45412751863,0.023563460132505334
01051011,"Brunsbüttel, Stadt",49858782.29993694,1,Artificial Land,artificial_land,artificial,8027947.668021666,0.16101371308524354
01051012,Buchholz,14568132.652381137,1,Artificial Land,artificial_land,artificial,568107.9027745053,0.03899661791462676
12070008,"Bad Wilsnack, Stadt",79693609.51313046,1,Artificial Land,artificial_land,artificial,1694086.9037694754,0.0212574999942794
15091160,"Kemberg, Stadt",236987026.99163863,1,Artificial Land,artificial_land,artificial,6983114.162772454,0.029466229655764373
16064003,"Bad Langensalza, Stadt",126456585.70906514,1,Artificial Land,artificial_land,artificial,7472833.267947511,0.05909406161842795
16064004,"Bad Tennstedt, Stadt",27498221.084865674,1,Artificial Land,artificial_land,artificial,1338422.8993108503,0.04867307216638404
16064005,Ballhausen,14763970.830593009,1,Artificial Land,artificial_land,artificial,444314.8330514367,0.03009453473930972
01058075,Hörsten,4929022.675857492,1,Artificial Land,artificial_land,artificial,59660.41347932377,0.01210390322843154
12061572,Zeuthen,13399174.843686089,1,Artificial Land,artificial_land,artificial,4001632.763529821,0.2986477010870155
15083120,Burgstall,117255764.73535794,1,Artificial Land,artificial_land,artificial,3952901.2742369156,0.03371178622354706
