AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
12067469,Spreenhagen,137473932.05312648,rp100,water,1837696.6420517396,197832.43358821818,9346201.575333845,9346201.565860877,0.10765238889882472,0.021167148171758923,0.02116714819321317
12067473,Steinhöfel,153395425.46443844,rp100,artificial,3618528.9212822607,3792.5010909977536,880528.5857348379,880528.624967793,0.0010480781481922892,0.004307073219925907,0.0043070730280193575
12067473,Steinhöfel,153395425.46443844,rp100,open_or_seasonal,107452567.86609688,351158.894549836,880528.5857348379,880528.624967793,0.0032680363208019026,0.39880465011454364,0.3988046323453486
12067473,Steinhöfel,153395425.46443844,rp100,perennial_vegetation,41419491.740921676,525577.190094004,880528.5857348379,880528.624967793,0.012689126978705624,0.5968882766655302,0.5968882500704937
12067473,Steinhöfel,153395425.46443844,rp100,water,904850.1538352143,0,880528.5857348379,880528.624967793,0,0,0
12067481,"Storkow (Mark), Stadt",180338238.61256295,rp100,artificial,8584233.871632235,0,238192.70163333946,238192.69848530332,0,0,0
12067481,"Storkow (Mark), Stadt",180338238.61256295,rp100,open_or_seasonal,47661417.41572065,29037.140968916927,238192.70163333946,238192.69848530332,6.092378813589231e-4,0.12190609019421209,0.12190609180536464
12067481,"Storkow (Mark), Stadt",180338238.61256295,rp100,perennial_vegetation,107308490.263875,191826.55101435457,238192.70163333946,238192.69848530332,0.0017876176483579908,0.8053418501027023,0.8053418607463756
12067481,"Storkow (Mark), Stadt",180338238.61256295,rp100,water,16784082.46124202,17329.00965006796,238192.70163333946,238192.69848530332,0.0010324669036918933,0.07275205970308557,0.07275206066460167
12067493,Tauche,121681826.17341477,rp100,artificial,3493676.0366703095,442945.69068956294,16968812.312719055,16968812.01323845,0.1267849926668409,0.026103517590182247,0.02610351805088022
12067493,Tauche,121681826.17341477,rp100,open_or_seasonal,65920324.15963936,4910803.493151347,16968812.312719055,16968812.01323845,0.07449604588197786,0.2894017213844973,0.2894017264921149
12067493,Tauche,121681826.17341477,rp100,perennial_vegetation,47614018.43124074,8102980.484641975,16968812.312719055,16968812.01323845,0.17018056344778934,0.4775219582438511,0.47752196667158103
12067493,Tauche,121681826.17341477,rp100,water,4653794.627127839,3512082.64423617,16968812.312719055,16968812.01323845,0.7546707419712042,0.20697280278146937,0.20697280643430851
12068052,Breddin,44818504.18544727,rp100,artificial,714912.5491009229,0,635049.331431257,635049.2769072131,0,0,0
12068052,Breddin,44818504.18544727,rp100,open_or_seasonal,16170317.017536325,87746.71224259608,635049.331431257,635049.2769072131,0.005426406430216356,0.13817306451584624,0.1381730763791055
12068052,Breddin,44818504.18544727,rp100,perennial_vegetation,27932365.29958007,547302.6191886609,635049.331431257,635049.2769072131,0.019593851552445824,0.8618269354841538,0.8618270094788677
12068052,Breddin,44818504.18544727,rp100,water,906.7944124063154,0,635049.331431257,635049.2769072131,0,0,0
