AGS,mun_name,municipality_area_m2,rp,class_code,class_name,class_slug,thesis_group,total_area_m2,flooded_area_m2,flood_share_of_class,flooded_landcover_total_area_m2,original_flood_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,share_of_lc_flooded_area,share_of_original_flood_area
02000000,"Hamburg, Freie und Hansestadt",742617853.28082335,rp100,1,Artificial Land,artificial_land,artificial,253998036.76941818,78111645.8547666,0.3075285417488368,295972156.5646174,295972153.5585031,253091553.45944592,281749009.20431155,288860941.8379541,295972153.5585031,300495251.5331125,316080358.1158138,0.3408099500184498,0.3793997248511709,0.3889765652169426,0.3985524348100749,0.404643182500326,0.4256298939210757,0.2639155208429651,0.2639155235234883
15089365,Wolmirsleben,16870779.18213933,rp100,1,Artificial Land,artificial_land,artificial,911760.2417287836,14288.268818244218,0.015671081238585606,3496961.860574171,3496961.831372593,3371218.4269852494,3380302.0511931335,3396979.803801012,3496961.831372593,3516963.8362554056,3554448.5710412157,0.19982588774288945,0.2003643112566949,0.2013528697831164,0.2072792129882619,0.20846481352673543,0.21068668688427983,0.0040859092514947265,0.004085909285614343
01058158,Tackesdorf,7266262.169202912,rp100,1,Artificial Land,artificial_land,artificial,33366.884508032614,0,0,21257.267767408106,21257.26569311751,20482.9160121154,20482.9160121154,20482.9160121154,21257.26569311751,72537.35366988486,72537.35366988486,0.00281890682377653,0.00281890682377653,0.00281890682377653,0.00292547463855813,0.00998276032171324,0.00998276032171324,0,0
03360012,Jelmstorf,13962852.30302496,rp100,1,Artificial Land,artificial_land,artificial,349098.5154432137,15932.485338022034,0.04563893752969483,1227251.2226904256,1227251.2585679276,977117.1550523026,1167218.8484116776,1207240.4538804276,1227251.2585679276,1237256.6833726151,1277539.5505902292,0.06997976730303282,0.08359458533832713,0.086460876881071555,0.08789402279232386,0.08861059735657102,0.09149560010123851,0.0129822525685444,0.01298225218902082
12065144,"Hohen Neuendorf, Stadt",48952827.21955197,rp100,1,Artificial Land,artificial_land,artificial,9204687.28103361,320427.7776070653,0.03481137031861053,3831939.4366799765,3831939.477867462,2639358.609375133,2753863.8243640135,3645855.5266722767,3831939.477867462,3894586.771088042,3899477.385754558,0.05391636723120584,0.05625546022118428,0.07447691448587276,0.07827820568322495,0.07955795389755399,0.07965785853931413,0.08362026146339267,0.08362026056460282
13071110,"Neustrelitz, Residenzstadt",131200564.88093625,rp100,1,Artificial Land,artificial_land,artificial,8145967.080222536,0,0,0,0,0,0,0,0,0,249352.7408753345,0,0,0,0,0,0.00190054624461122,NA,NA
15084565,Wetterzeube,41921179.11773494,rp100,1,Artificial Land,artificial_land,artificial,899531.4531180765,70706.5311783527,0.07860373412542745,4005494.5906717954,4005494.419514315,3628175.068596504,3698151.115471504,3875533.5591627527,4005494.419514315,4037757.733487417,4199587.475967666,0.08654754338867317,0.08821677236428174,0.09244810477010632,0.09554822893375568,0.09631784740947864,0.10017818115690864,0.017652384637597003,0.017652385391895314
13071119,Priepert,22177387.184844747,rp100,1,Artificial Land,artificial_land,artificial,264405.1486733065,84928.45102969006,0.3212057384503729,5229479.979445055,5229480.071082913,3054403.566128542,3220703.6426633145,3558881.668898851,5229480.071082913,5547460.309843478,5787213.702421603,0.1377260333090913,0.14522466581925533,0.16047344257626825,0.23580235252674656,0.25014039136379507,0.26095110547451605,0.01624032434649507,0.01624032406191065
03359020,Grünendeich,2590811.678527903,rp100,1,Artificial Land,artificial_land,artificial,804631.1006705834,674923.9485420216,0.8387992310756279,2349278.154785578,2349278.3017563624,2219554.445183508,2219554.445183508,2219554.445183508,2349278.3017563624,2552623.047916876,2552623.047916876,0.8567023468277158,0.8567023468277158,0.8567023468277158,0.9067730862982756,0.9852599743441308,0.9852599743441308,0.2872899265534706,0.28728990858062087
03359021,Guderhandviertel,9230903.761117129,rp100,1,Artificial Land,artificial_land,artificial,727248.5234664633,692087.1545675482,0.9516515087149069,9181189.147752626,9181188.477311466,9165759.086788744,9165759.086788744,9165759.086788744,9181188.477311466,9230902.57627008,9230902.57627008,0.9929427631341158,0.9929427631341158,0.9929427631341158,0.9946142560802036,0.9999998716434404,0.9999998716434404,0.07538099296614072,0.07538099847071351
03359022,Hammah,29393174.06893374,rp100,1,Artificial Land,artificial_land,artificial,1343925.5639309045,27712.628610354015,0.020620657389160885,8881919.10565503,8881918.974852502,51514.381079930754,2025633.66687955,8881918.974852502,8881918.974852502,8881918.974852502,8881918.974852502,0.00175259674096842,0.06891510464739105,0.30217624520653547,0.30217624520653547,0.30217624520653547,0.30217624520653547,0.003120117204480016,0.0031201172504294575
03359023,"Harsefeld, Flecken",52050767.1431126,rp100,1,Artificial Land,artificial_land,artificial,4603649.603052275,0,0,0,0,0,0,0,0,178.39581147515997,74709.47722246787,0,0,0,0,3.427342597750078e-6,0.00143531942607215,NA,NA
