AGS,Gemeinde,shortlist_available_n,shortlist_available_pct
01059176,176,13,100
01059178,178,13,100
01059159,159,13,100
01059171,171,13,100
01059184,184,13,100
01059076,076,13,100
01059161,161,13,100
01059185,185,13,100
01059105,105,13,100
01059115,115,13,100
01059123,123,13,100
01059124,124,11,84.61538461538461
01059129,129,13,100
01059143,143,13,100
01059144,144,13,100
01059149,149,13,100
01059151,151,13,100
01059158,158,13,100
01059173,173,13,100
01059177,177,13,100
01059179,179,13,100
01059006,006,13,100
01059055,055,13,100
01059060,060,13,100
01059063,063,13,100
01059065,065,13,100
01059070,070,13,100
01059072,072,13,100
01059074,074,13,100
01059080,080,13,100
01059083,083,13,100
01059094,094,13,100
01059095,095,13,100
01059187,187,13,100
01059008,008,13,100
01059037,037,13,100
01059042,042,13,100
01059049,049,13,100
01059062,062,13,100
01059073,073,13,100
01059081,081,13,100
01059082,082,13,100
01059084,084,13,100
01059086,086,13,100
01059090,090,13,100
01059093,093,13,100
01059097,097,13,100
01059098,098,13,100
01059189,189,13,100
01059102,102,13,100
01059109,109,13,100
01059112,112,13,100
01059121,121,13,100
01059136,136,13,100
01059142,142,13,100
01059147,147,13,100
01059148,148,13,100
01059152,152,13,100
01059154,154,13,100
01059155,155,13,100
01059163,163,13,100
01059164,164,13,100
01059167,167,13,100
01059168,168,13,100
01059186,186,13,100
01059010,010,13,100
01059023,023,13,100
01059039,039,13,100
01059041,041,13,100
01059044,044,13,100
01059057,057,13,100
01059077,077,13,100
01059079,079,13,100
01059092,092,13,100
01059001,001,13,100
01059005,005,13,100
01059009,009,13,100
01059020,020,13,100
01059024,024,13,100
01059035,035,13,100
01059050,050,13,100
01059051,051,13,100
01059053,053,13,100
01059058,058,13,100
01059087,087,13,100
01059088,088,13,100
01059096,096,13,100
01059188,188,13,100
01060004,004,13,100
01060005,005,13,100
01060019,019,13,100
01060039,039,13,100
01060044,044,13,100
01060063,063,13,100
01060092,092,13,100
01060003,003,13,100
01060009,009,13,100
01060013,013,13,100
01060021,021,13,100
01060023,023,13,100
01060027,027,13,100
01060031,031,13,100
01060033,033,13,100
01060035,035,13,100
01060037,037,13,100
01060040,040,13,100
01060056,056,13,100
01060095,095,13,100
01060099,099,13,100
01060012,012,13,100
01060017,017,13,100
01060026,026,13,100
01060072,072,13,100
01060080,080,13,100
01060086,086,13,100
01060087,087,13,100
01060089,089,13,100
01060043,043,13,100
01060046,046,13,100
01060058,058,13,100
01060065,065,13,100
01060076,076,13,100
01060085,085,13,100
01060002,002,13,100
01060034,034,13,100
01060036,036,13,100
01060054,054,13,100
01060064,064,13,100
01060073,073,13,100
01060042,042,11,84.61538461538461
01060045,045,13,100
01060047,047,13,100
01060066,066,13,100
01060077,077,13,100
01060082,082,13,100
01060084,084,13,100
01060094,094,13,100
01060100,100,13,100
01060007,007,13,100
01060008,008,13,100
01060022,022,13,100
01060029,029,13,100
01060041,041,13,100
01060051,051,13,100
01060053,053,13,100
01060057,057,13,100
01060062,062,13,100
01060074,074,13,100
01060088,088,13,100
01060101,101,13,100
01060011,011,13,100
01060016,016,13,100
01060028,028,13,100
01060038,038,13,100
01060052,052,13,100
01060068,068,13,100
01060006,006,13,100
01060010,010,13,100
01060015,015,13,100
01060018,018,11,84.61538461538461
01060020,020,13,100
01060024,024,13,100
01060025,025,13,100
01060030,030,13,100
01060048,048,13,100
01060049,049,13,100
01060050,050,13,100
01060059,059,13,100
01060060,060,13,100
01060061,061,13,100
01060067,067,13,100
01060069,069,13,100
01060070,070,13,100
01060071,071,13,100
01060075,075,13,100
01060079,079,13,100
01060081,081,13,100
01060090,090,13,100
01060091,091,13,100
01060093,093,13,100
01060096,096,13,100
01060097,097,13,100
01060098,098,13,100
01060014,014,3,23.076923076923077
01061029,029,13,100
01061046,046,13,100
01061113,113,13,100
01061005,005,13,100
01061016,016,13,100
01061017,017,13,100
01061053,053,11,84.61538461538461
01061058,058,11,84.61538461538461
01061061,061,13,100
01061068,068,13,100
01061072,072,13,100
01061079,079,13,100
01061109,109,13,100
01061115,115,13,100
01061004,004,13,100
01061012,012,13,100
01061015,015,13,100
01061027,027,13,100
01061037,037,13,100
01061041,041,13,100
01061044,044,13,100
01061050,050,13,100
01061054,054,13,100
01061074,074,13,100
01061101,101,13,100
01061118,118,13,100
01061008,008,11,84.61538461538461
01061010,010,13,100
01061024,024,13,100
01061034,034,13,100
01061035,035,13,100
01061039,039,13,100
01061040,040,13,100
01061045,045,13,100
01061047,047,13,100
01061052,052,13,100
01061059,059,13,100
01061065,065,13,100
01061067,067,13,100
01061070,070,13,100
01061082,082,13,100
01061083,083,13,100
01061084,084,13,100
01061098,098,13,100
01061100,100,13,100
01061114,114,13,100
01061006,006,13,100
01061022,022,13,100
01061026,026,11,84.61538461538461
01061030,030,13,100
01061055,055,13,100
01061056,056,13,100
01061057,057,13,100
01061073,073,13,100
01061092,092,13,100
01061104,104,13,100
01061001,001,13,100
01061003,003,13,100
01061011,011,13,100
01061013,013,13,100
01061014,014,13,100
01061021,021,11,84.61538461538461
01061031,031,13,100
01061033,033,13,100
01061043,043,13,100
01061048,048,13,100
01061066,066,13,100
01061076,076,13,100
01061078,078,13,100
01061081,081,13,100
01061085,085,13,100
01061087,087,13,100
01061091,091,13,100
01061097,097,13,100
01061105,105,13,100
01061106,106,13,100
01061107,107,13,100
01061108,108,13,100
01061002,002,11,84.61538461538461
01061007,007,13,100
01061018,018,13,100
01061020,020,13,100
01061023,023,13,100
01061025,025,13,100
01061060,060,13,100
01061062,062,13,100
01061063,063,13,100
01061077,077,13,100
01061095,095,13,100
01061102,102,13,100
01061110,110,13,100
01061119,119,13,100
01061019,019,13,100
01061028,028,13,100
01061036,036,13,100
01061038,038,13,100
01061042,042,13,100
01061049,049,13,100
01061064,064,13,100
01061071,071,13,100
01061080,080,13,100
01061086,086,13,100
01061088,088,13,100
01061089,089,13,100
01061093,093,13,100
01061096,096,13,100
01061103,103,13,100
01061111,111,13,100
01061112,112,13,100
01061116,116,13,100
01061117,117,13,100
01062001,001,13,100
01062004,004,13,100
01062006,006,13,100
01062009,009,13,100
01062018,018,13,100
01062023,023,13,100
01062053,053,13,100
01062060,060,13,100
01062061,061,13,100
01062076,076,13,100
01062090,090,13,100
01062019,019,13,100
01062046,046,13,100
01062050,050,13,100
01062056,056,13,100
01062062,062,13,100
01062065,065,13,100
01062089,089,13,100
01062091,091,13,100
01062092,092,13,100
01062005,005,13,100
01062014,014,13,100
01062016,016,13,100
01062027,027,13,100
01062036,036,13,100
01062051,051,13,100
01062078,078,13,100
01062081,081,13,100
01062003,003,13,100
01062008,008,13,100
01062025,025,13,100
01062031,031,13,100
01062032,032,13,100
01062039,039,13,100
01062048,048,13,100
01062059,059,13,100
01062083,083,13,100
01062087,087,13,100
01062093,093,13,100
01062094,094,13,100
01062011,011,13,100
01062035,035,13,100
01062069,069,13,100
01062071,071,13,100
01062088,088,13,100
01062020,020,13,100
01062021,021,13,100
01062022,022,13,100
01062026,026,13,100
01062033,033,11,84.61538461538461
01062040,040,13,100
01062045,045,13,100
01062058,058,13,100
01062082,082,13,100
01062086,086,13,100
02000000,000,13,100
03101000,000,13,100
03102000,000,13,100
03103000,000,13,100
03151009,009,13,100
03151025,025,13,100
03151040,040,13,100
03151002,002,13,100
03151004,004,13,100
03151014,014,13,100
03151020,020,13,100
03151030,030,13,100
03151039,039,13,100
03151003,003,13,100
03151005,005,13,100
03151008,008,13,100
03151021,021,13,100
03151024,024,13,100
03151031,031,13,100
03151032,032,13,100
03151007,007,13,100
03151011,011,13,100
03151019,019,13,100
03151028,028,13,100
03151029,029,13,100
03151006,006,13,100
03151013,013,13,100
03151022,022,13,100
03151037,037,13,100
03151012,012,13,100
03151015,015,13,100
03151017,017,13,100
03151018,018,13,100
03151001,001,13,100
03151016,016,13,100
03151023,023,13,100
03151027,027,13,100
03151034,034,13,100
03151041,041,13,100
03151010,010,13,100
03151026,026,13,100
03151033,033,13,100
03151035,035,13,100
03151036,036,13,100
03151038,038,13,100
03151501,501,3,23.076923076923077
03153002,002,13,100
03153008,008,13,100
03153012,012,13,100
03153016,016,13,100
03153017,017,13,100
03153018,018,13,100
03153019,019,13,100
03153504,504,3,23.076923076923077
03154013,013,13,100
03154014,014,13,100
03154019,019,13,100
03154028,028,13,100
03154008,008,13,100
03154015,015,13,100
03154016,016,13,100
03154018,018,13,100
03154002,002,13,100
03154006,006,13,100
03154012,012,13,100
03154027,027,13,100
03154005,005,13,100
03154017,017,13,100
03154021,021,13,100
03154022,022,13,100
03154025,025,13,100
03154026,026,13,100
03154001,001,13,100
03154004,004,13,100
03154007,007,13,100
03154009,009,13,100
03154024,024,13,100
03154501,501,0,0
03154502,502,3,23.076923076923077
03154503,503,3,23.076923076923077
03154504,504,3,23.076923076923077
03154506,506,0,0
03155001,001,13,100
03155002,002,13,100
03155003,003,13,100
03155005,005,13,100
03155006,006,13,100
03155007,007,13,100
03155009,009,13,100
03155010,010,13,100
03155011,011,13,100
03155012,012,13,100
03155013,013,13,100
03155501,501,3,23.076923076923077
03157001,001,13,100
03157002,002,13,100
03157005,005,13,100
03157006,006,13,100
03157007,007,13,100
03157008,008,13,100
03157009,009,13,100
03158006,006,13,100
03158037,037,13,100
03158039,039,13,100
03158002,002,13,100
03158004,004,13,100
03158011,011,13,100
03158016,016,13,100
03158018,018,13,100
03158028,028,13,100
03158005,005,13,100
03158010,010,13,100
03158014,014,13,100
03158019,019,13,100
03158023,023,13,100
03158038,038,13,100
03158009,009,13,100
03158012,012,13,100
03158013,013,13,100
03158030,030,13,100
03158033,033,13,100
03158007,007,13,100
03158008,008,13,100
03158017,017,13,100
03158021,021,13,100
03158022,022,13,100
03158025,025,13,100
03158027,027,13,100
03158031,031,13,100
03158032,032,13,100
03158035,035,13,100
03158036,036,13,100
03158040,040,13,100
03158501,501,3,23.076923076923077
03158502,502,0,0
03158503,503,0,0
03159001,001,13,100
03159002,002,13,100
03159003,003,13,100
03159004,004,13,100
03159007,007,13,100
03159010,010,13,100
03159013,013,13,100
03159015,015,13,100
03159016,016,13,100
03159017,017,13,100
03159019,019,13,100
03159026,026,13,100
03159029,029,13,100
03159034,034,13,100
03159036,036,13,100
03159008,008,13,100
03159009,009,13,100
03159021,021,13,100
03159024,024,13,100
03159031,031,13,100
03159005,005,13,100
03159006,006,13,100
03159014,014,13,100
03159022,022,13,100
03159025,025,13,100
03159027,027,13,100
03159028,028,13,100
03159030,030,13,100
03159037,037,13,100
03159038,038,13,100
03159012,012,13,100
03159018,018,13,100
03159020,020,13,100
03159039,039,13,100
03159011,011,13,100
03159023,023,13,100
03159032,032,13,100
03159033,033,13,100
03159035,035,13,100
03159501,501,3,23.076923076923077
03241001,001,13,100
03241002,002,13,100
03241003,003,13,100
03241004,004,13,100
03241005,005,13,100
03241006,006,13,100
03241007,007,13,100
03241008,008,13,100
03241009,009,13,100
03241010,010,13,100
03241011,011,13,100
03241012,012,13,100
03241013,013,13,100
03241014,014,13,100
03241015,015,13,100
03241016,016,13,100
03241017,017,13,100
03241018,018,13,100
03241019,019,13,100
03241020,020,13,100
03241021,021,13,100
03251007,007,13,100
03251012,012,13,100
03251037,037,13,100
03251040,040,13,100
03251041,041,13,100
03251042,042,13,100
03251044,044,13,100
03251047,047,13,100
03251009,009,13,100
03251020,020,13,100
03251022,022,13,100
03251023,023,13,100
03251025,025,13,100
03251029,029,13,100
03251036,036,13,100
03251005,005,13,100
03251013,013,13,100
03251014,014,13,100
03251017,017,13,100
03251002,002,13,100
03251026,026,13,100
03251033,033,13,100
03251049,049,13,100
03251003,003,13,100
03251004,004,13,100
03251018,018,13,100
03251021,021,13,100
03251043,043,13,100
03251045,045,13,100
03251006,006,13,100
03251011,011,13,100
03251019,019,13,100
03251030,030,13,100
03251046,046,13,100
03251001,001,13,100
03251015,015,13,100
03251028,028,13,100
03251031,031,13,100
03251032,032,13,100
03251038,038,13,100
03251008,008,13,100
03251024,024,13,100
03251027,027,13,100
03251034,034,13,100
03251035,035,13,100
03252001,001,13,100
03252002,002,13,100
03252003,003,13,100
03252004,004,13,100
03252005,005,13,100
03252006,006,13,100
03252007,007,13,100
03252008,008,13,100
