Kuerzel,states_with_data,all_states_present,full_coverage_all_states,min_state_coverage,mean_state_coverage,max_state_coverage,states_below_95,states_below_100,municipalities_with_value_total,municipalities_total,official_short,official_name,main_dimension,sub_dimension,period_gemeinden,period_kreise,broad_dimension
a_bev0306,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 3 bis unter 6 Jahren,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev3050,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 30 bis unter 50 Jahren,Anteil der Einwohner von 30 bis unter 50 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev5065,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 50 bis unter 65 Jahren,Anteil der Einwohner von 50 bis unter 65 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev0618,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 6 bis unter 18 Jahren,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev6575,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 65 bis unter 75 Jahren,Anteil der Einwohner von 65 bis unter 75 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev6575_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,"Einwohner von 65 bis unter 75 Jahren, Frauen",Anteil der weiblichen Einwohner von 65 bis unter 75 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
q_abhg_alt,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Abhängigenquote Alte,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
q_abhg_jung,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Abhängigenquote Junge,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2001-2023,1995-2023,Demography and household structure
e10_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Bevölkerungsentwicklung (10 Jahre),Entwicklung der Zahl der Einwohner über die letzten 10 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,,2005-2023,Demography and household structure
e5_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Bevölkerungsentwicklung (5 Jahre),Entwicklung der Zahl der Einwohner über die letzten 5 Jahre in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,,2000-2023,Demography and household structure
q_HH1,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Einpersonenhaushalte,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,2013-2023,2013-2023,Demography and household structure
