Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
a_gb_knj_prBv,Anteil Minijobs (ausschließlich) an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_nj,Anteil Minijobs (Nebenverdienst),834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten im Nebenjob an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_gb_nj_prBv,Anteil Minijobs (Nebenverdienst) an den Beschäftigungsverhältnissen,834,1,99.88,2020,2023,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort im Nebenjob an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,Labour market and employment
a_geb_bev,Geborene,834,1,99.88,2021,2022,Geborene je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,Demography and household structure
a_gest_bev,Gestorbene,834,1,99.88,2023,2023,Gestorbene je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,Demography and household structure
a_hh_kind,Haushalte mit Kindern,834,1,99.88,2023,2023,Anteil der Haushalte mit Kindern an allen Haushalten in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
a_hheink_hoch,Haushalte mit hohem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen von über 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers"
a_hheink_mittel,Haushalte mit mittlerem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen zwischen 1.500€ und 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers"
a_hheink_niedrig,Haushalte mit niedrigem Einkommen,834,1,99.88,2023,2023,Anteil der Haushalte mit einem Nettoeinkommen von unter 1.500€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers"
a_landwirtschaft,Landwirtschaftsfläche,834,1,99.88,2023,2023,Anteil Landwirtschaftsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_naturnah,Naturnähere Fläche,834,1,99.88,2023,2023,Anteil naturnähere Fläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
