AGS,mun_name,municipality_area_m2,monotonicity_observed_ok,suspicious_any,monotone_adjustment_applied,flood_share_rp10_obs,flood_share_rp20_obs,flood_share_rp50_obs,flood_share_rp100_obs,flood_share_rp200_obs,flood_share_rp500_obs,flood_share_rp10_adj,flood_share_rp20_adj,flood_share_rp50_adj,flood_share_rp100_adj,flood_share_rp200_adj,flood_share_rp500_adj,onset_rp_any,onset_rp_1pct,onset_rp_5pct,slope_logrp,slope_norm_logrp,normalized_auc,realized_by_rp50,realized_by_rp100,late_growth_share,jump_rp10_rp20,jump_rp20_rp50,jump_rp50_rp100,jump_rp100_rp200,jump_rp200_rp500,max_jump_interval,max_jump_abs,max_jump_rel,low_signal_flag,exposure_curve_type
16075125,Wilhelmsdorf,9420839.207122868,TRUE,FALSE,FALSE,0.06719693510033006,0.06719693510033006,0.06719693510033006,0.06936826795520738,0.06936826795520738,0.06936826795520738,0.06719693510033006,0.06719693510033006,0.06719693510033006,0.06936826795520738,0.06936826795520738,0.06936826795520738,10,10,10,0.0016352946306242232,0.023574102090600884,0.9843492354726271,0.9686984709452542,1,0,0,0,0.0021713328548773198,0,0,RP50-RP100,0.0021713328548773198,0.031301529054745855,FALSE,early exposure
16075127,"Ziegenrück, Stadt",8249560.409786124,TRUE,FALSE,FALSE,0.11190099909424336,0.117961523370604,0.11934613306792304,0.12419602808835298,0.12427324046630311,0.12543839955488462,0.11190099909424336,0.117961523370604,0.11934613306792304,0.12419602808835298,0.12427324046630311,0.12543839955488462,10,10,10,0.007695831519928225,0.0613514804656049,0.9645217272050101,0.9514322049023277,0.9900957643676883,0.009904235632311688,0.00606052427636064,0.0013846096973190308,0.004849895020429942,7.721237795013658e-5,0.0011651590885815022,RP10-RP20,0.00606052427636064,0.048314744909583325,FALSE,early exposure
16076003,"Bad Köstritz, Stadt",20153208.322012063,TRUE,FALSE,FALSE,0.09725374203824014,0.10023002683327628,0.10482004100394816,0.10731344378921742,0.10731344378921742,0.10731344378921742,0.09725374203824014,0.10023002683327628,0.10482004100394816,0.10731344378921742,0.10731344378921742,0.10731344378921742,10,10,10,0.006270371286947143,0.05843043579202649,0.973337928124556,0.9767652337188364,1,0,0.0029762847950361437,0.004590014170671883,0.002493402785269258,0,0,RP20-RP50,0.004590014170671883,0.04277203310786934,FALSE,early exposure
14522440,"Oederan, Stadt",77579600.43018354,TRUE,FALSE,FALSE,3.76011211255236e-4,9.556174058175518e-4,0.00271283901213912,0.00348525435709894,0.0034937988431687,0.00364600192733665,3.76011211255236e-4,9.556174058175518e-4,0.00271283901213912,0.00348525435709894,0.0034937988431687,0.00364600192733665,10,NA,NA,0.002100979840129866,0.5762421090283406,0.6997084014866604,0.7440585787404693,0.9559112766692546,0.0440887233307454,5.796061945623158e-4,0.001757221606321568,7.724153449598201e-4,8.544486069760049e-6,1.5220308416795001e-4,RP20-RP50,0.001757221606321568,0.48195849627682236,TRUE,early exposure
12073572,"Templin, Stadt",378905948.0809287,TRUE,FALSE,FALSE,0.00647408046883826,0.00731752616152898,0.00976460111557323,0.01292747298116521,0.01474611039678189,0.01661747155028604,0.00647408046883826,0.00731752616152898,0.00976460111557323,0.01292747298116521,0.01474611039678189,0.01661747155028604,10,100,NA,0.006443656347711406,0.38776394641099826,0.6834610771757537,0.587610521012455,0.7779446435064116,0.22205535649358843,8.434456926907198e-4,0.0024470749540442495,0.003162871865591981,0.0018186374156166796,0.0018713611535041506,RP50-RP100,0.003162871865591981,0.19033412249395654,TRUE,early exposure
01058140,Schacht-Audorf,6283014.522038246,TRUE,FALSE,FALSE,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,10,10,10,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,FALSE,early exposure
01058148,Schülp b. Rendsburg,8028885.458245777,TRUE,FALSE,FALSE,0.00464401582916714,0.01837287604511113,0.04859233947361929,0.07521610068246752,0.07646255070896647,0.07770900073546542,0.00464401582916714,0.01837287604511113,0.04859233947361929,0.07521610068246752,0.07646255070896647,0.07770900073546542,10,20,100,0.04789203753949722,0.616299747599764,0.6735749584006677,0.6253115985757663,0.9679200603610365,0.03207993963896354,0.01372886021594399,0.030219463428508158,0.026623761208848233,0.001246450026498952,0.001246450026498952,RP20-RP50,0.030219463428508158,0.3888798355724625,FALSE,early exposure
03360002,"Bad Bevensen, Stadt",48165364.50427336,TRUE,FALSE,FALSE,0.06728278606860869,0.06873688546679446,0.06898378831683998,0.07438464736574187,0.076529128745536,0.07869315214077803,0.06728278606860869,0.06873688546679446,0.06898378831683998,0.07438464736574187,0.076529128745536,0.07869315214077803,10,10,10,0.007221398499541204,0.09176654261634479,0.920390638884995,0.8766174240095441,0.9452493049544073,0.05475069504559266,0.0014540993981857764,2.469028500455134e-4,0.00540085904890189,0.0021444813797941303,0.0021640233952420346,RP50-RP100,0.00540085904890189,0.06863188094486328,FALSE,early exposure
03360004,Bienenbüttel,99544191.18334588,TRUE,FALSE,FALSE,0.02824294264340157,0.03176092242690728,0.03246451770865693,0.03377118467635312,0.03587374952121408,0.03737881913591472,0.02824294264340157,0.03176092242690728,0.03246451770865693,0.03377118467635312,0.03587374952121408,0.03737881913591472,10,10,NA,0.005000161227083421,0.13376990880589684,0.895002197467611,0.8685271086443719,0.9034845256495738,0.09651547435042616,0.0035179797835057057,7.035952817496527e-4,0.001306666967696192,0.00210256484486096,0.0015050696147006354,RP10-RP20,0.0035179797835057057,0.09411693212441595,FALSE,early exposure
03360008,Emmendorf,11006393.409583991,TRUE,FALSE,FALSE,0.05930357886459117,0.05930357886459117,0.11376034148983571,0.11376034148983571,0.1171023115437652,0.12217688030190388,0.05930357886459117,0.05930357886459117,0.11376034148983571,0.11376034148983571,0.1171023115437652,0.12217688030190388,10,10,10,0.041782035503421106,0.3419798852301356,0.8136324308357821,0.9311118536398166,0.9311118536398166,0.06888814636018341,0,0.05445676262524454,0,0.0033419700539294855,0.005074568758138678,RP20-RP50,0.05445676262524454,0.44572068373885254,FALSE,early exposure
