inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
m_OEV20_DIST,11,1,1,100
m_OEV20_DIST,12,413,413,100
m_OEV20_DIST,13,725,726,99.8622589531681
m_OEV20_DIST,14,418,418,100
m_OEV20_DIST,15,218,218,100
m_OEV20_DIST,16,624,624,100
m_P01_PRIM_DIST,01,1104,1106,99.8191681735986
m_P01_PRIM_DIST,02,1,1,100
m_P01_PRIM_DIST,03,955,964,99.0663900414938
m_P01_PRIM_DIST,04,2,2,100
m_P01_PRIM_DIST,05,396,396,100
m_P01_PRIM_DIST,06,425,425,100
m_P01_PRIM_DIST,07,2301,2301,100
m_P01_PRIM_DIST,08,1102,1103,99.909338168631
m_P01_PRIM_DIST,09,2121,2228,95.197486535009
m_P01_PRIM_DIST,10,52,52,100
m_P01_PRIM_DIST,11,1,1,100
m_P01_PRIM_DIST,12,413,413,100
m_P01_PRIM_DIST,13,726,726,100
m_P01_PRIM_DIST,14,418,418,100
m_P01_PRIM_DIST,15,218,218,100
m_P01_PRIM_DIST,16,624,624,100
m_Q01_APO_DIST,01,1103,1106,99.7287522603978
m_Q01_APO_DIST,02,1,1,100
m_Q01_APO_DIST,03,955,964,99.0663900414938
m_Q01_APO_DIST,04,2,2,100
m_Q01_APO_DIST,05,396,396,100
m_Q01_APO_DIST,06,425,425,100
m_Q01_APO_DIST,07,2301,2301,100
m_Q01_APO_DIST,08,1102,1103,99.909338168631
m_Q01_APO_DIST,09,2121,2228,95.197486535009
m_Q01_APO_DIST,10,52,52,100
m_Q01_APO_DIST,11,1,1,100
m_Q01_APO_DIST,12,413,413,100
m_Q01_APO_DIST,13,725,726,99.8622589531681
m_Q01_APO_DIST,14,418,418,100
m_Q01_APO_DIST,15,218,218,100
m_Q01_APO_DIST,16,624,624,100
m_Q07_HA_DIST,01,1101,1106,99.5479204339964
m_Q07_HA_DIST,02,1,1,100
m_Q07_HA_DIST,03,955,964,99.0663900414938
m_Q07_HA_DIST,04,2,2,100
m_Q07_HA_DIST,05,396,396,100
m_Q07_HA_DIST,06,425,425,100
m_Q07_HA_DIST,07,2301,2301,100
m_Q07_HA_DIST,08,1102,1103,99.909338168631
m_Q07_HA_DIST,09,2121,2228,95.197486535009
m_Q07_HA_DIST,10,52,52,100
m_Q07_HA_DIST,11,1,1,100
m_Q07_HA_DIST,12,413,413,100
m_Q07_HA_DIST,13,726,726,100
m_Q07_HA_DIST,14,418,418,100
m_Q07_HA_DIST,15,218,218,100
m_Q07_HA_DIST,16,624,624,100
q_HH1,01,1104,1106,99.8191681735986
q_HH1,02,1,1,100
q_HH1,03,941,964,97.6141078838174
q_HH1,04,2,2,100
q_HH1,05,396,396,100
q_HH1,06,421,425,99.0588235294118
q_HH1,07,2301,2301,100
q_HH1,08,1101,1103,99.818676337262
q_HH1,09,2056,2228,92.2800718132855
q_HH1,10,52,52,100
q_HH1,11,1,1,100
q_HH1,12,413,413,100
q_HH1,13,726,726,100
q_HH1,14,418,418,100
q_HH1,15,218,218,100
q_HH1,16,624,624,100
q_abhg_alt,01,1104,1106,99.8191681735986
q_abhg_alt,02,1,1,100
q_abhg_alt,03,942,964,97.7178423236515
q_abhg_alt,04,2,2,100
q_abhg_alt,05,396,396,100
q_abhg_alt,06,421,425,99.0588235294118
q_abhg_alt,07,2301,2301,100
q_abhg_alt,08,1102,1103,99.909338168631
q_abhg_alt,09,2056,2228,92.2800718132855
q_abhg_alt,10,52,52,100
q_abhg_alt,11,1,1,100
q_abhg_alt,12,413,413,100
q_abhg_alt,13,726,726,100
q_abhg_alt,14,418,418,100
q_abhg_alt,15,218,218,100
q_abhg_alt,16,624,624,100
q_abhg_jung,01,1104,1106,99.8191681735986
q_abhg_jung,02,1,1,100
