AGS,municipality_name,protection_available,loss_portfolio_status,river_context_class,distance_to_elbe_m,intersects_elbe_main,near_elbe_1km,near_elbe_5km,intersects_major_wfd_river,intersects_any_wfd_river,major_wfd_names,any_wfd_names,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,protection_return_period,annual_loss_probability,n_nonzero_years
14730310,"Torgau, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Schwarzer Graben Nordumfluter/Rote Furt; Weinske/Schwarzer Graben/Ellergraben/Schwarzer Graben/Schwarzer Bach,0.29165656979838167,0.3012926165616032,0.30951761673113815,0.3172956138234148,0.33650722302462843,0.34289801804068126,NA,NA,NA
15003000,"Magdeburg, Landeshauptstadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Umflutehle; Elbe; Schrote; Große Sülze; Sülze; Seerennengraben; Rothenseer Verbindungskanal mit Schiffsschleuse (zur Elbe); Mittellandkanal,0.2940434717440653,0.3411673081812762,0.35942529268619894,0.36715096185787616,0.3744873632825843,0.3811242943232512,NA,NA,NA
15083040,Barleben,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,5.443668890364752,FALSE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Große Sülze; Mittellandkanal; Mönchgraben,0.10275196131970755,0.1892195842361517,0.19172670499827432,0.2140755854856104,0.2140755854856104,0.2140755854856104,NA,NA,NA
15090010,"Arneburg, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Cositte; Elbe,0.07608134993012007,0.08856686017665232,0.09472792116895826,0.10623314669347064,0.10751372502887996,0.11329774709234929,NA,NA,NA
15090445,"Sandau (Elbe), Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Graben Sandau-Wulkau,0.5642122484278087,0.6177725786011348,0.6992447474920662,0.7046363854417186,0.7122308230817266,0.7365251835246802,NA,NA,NA
15091020,"Bad Schmiedeberg, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Dommitzscher Grenzbach; Elbe; Kemberger Flieth; Fließgraben; Pretzscher Bach; Schahmühlenbach; Weichenbach; Schleifbach/Deubitzbach,0.13876947074506635,0.14629393967373897,0.15444914804256946,0.1565636894634676,0.15914605716027524,0.16111982691375673,NA,NA,NA
15091160,"Kemberg, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Kemberger Flieth; Fließgraben; Kapengraben; Graben Pannewitz,0.4019568768031661,0.42310606833715514,0.44141043631744226,0.4470664072752601,0.45187662813214313,0.4584894110443511,NA,NA,NA
03355004,"Bardowick, Flecken",FALSE,not_in_damage_loss_portfolio,intersects major WFD river/tributary,7682.435609702359,FALSE,FALSE,FALSE,TRUE,TRUE,Ilmenau,Ilmenau; Landwehrgraben; Roddau,0.10179470680033906,0.10438888127578404,0.1061183854980063,0.1061183854980063,0.10698313528815286,0.11353513966166172,NA,NA,NA
03355014,Deutsch Evern,FALSE,not_in_damage_loss_portfolio,intersects major WFD river/tributary,18098.48615255942,FALSE,FALSE,FALSE,TRUE,TRUE,Ilmenau,Ilmenau; Dieksbach,0.04257463533635734,0.04257463533635734,0.0453421104172813,0.0453421104172813,0.0457159231834411,0.0457159231834411,NA,NA,NA
03355017,Handorf,FALSE,not_in_damage_loss_portfolio,intersects major WFD river/tributary,6198.938787672835,FALSE,FALSE,FALSE,TRUE,TRUE,Ilmenau,Ilmenau; Roddau,0.29096615896727895,0.43474048068008,0.43474048068008,0.43474048068008,0.4824329548095415,0.6944648679920362,NA,NA,NA
