AGS,municipality_name,pop_total,protection_available,protection_status,loss_portfolio_status,provider_interpretation,protection_return_period,annual_loss_probability,n_nonzero_years
14730160,Laußig,3635,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,87.71929824561404,0.0114,57
14730180,Löbnitz,2099,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,106.38297872340424,0.0094,47
14730270,Schkeuditz,19272,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1250,8e-4,4
14730360,Zschepplin,2803,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,87.71929824561404,0.0114,57
15001000,Dessau-Roßlau,76062,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,62.5,0.016,80
15002000,Halle (Saale),227639,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,18.181818181818183,0.055,275
15081240,Kalbe (Milde),7089,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,10.869565217391305,0.092,460
15082005,Aken (Elbe),7174,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5000,2e-4,1
15082015,Bitterfeld-Wolfen,36815,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2500,4e-4,2
15082241,Muldestausee,11593,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,104.16666666666669,0.0096,48
15082301,Raguhn-Jeßnitz,8747,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,45.45454545454545,0.022,110
15082430,Zerbst/Anhalt,21307,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,161.29032258064515,0.0062,31
15083025,Am Großen Bruch,2065,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1.4363688595231254,0.6962,3481
15083030,Angern,1884,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,40.32258064516129,0.0248,124
15083245,Gröningen,3374,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1.3164823591363877,0.7596,3798
15083320,Hötensleben,3411,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,16.44736842105263,0.0608,304
15083361,Loitsche-Heinrichsberg,937,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,56.81818181818182,0.0176,88
15083415,Oschersleben (Bode),18898,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1.1944577161968466,0.8372,4186
